FILE_NAME,CATEGORY,TOTAL_TOKENS(excluding_spaces),TOTAL_SENTENCES,TOTAL_LINES,TOTAL_WORDS,UNIQUE_WORDS
Carnation.txt,Crop-Production,2812,179,504,2812,1047
Castor--Crop-stage-wise-IPM.txt,Crop-Production,1873,48,108,1873,588
Castor--Diseases-and-Symptoms.txt,Crop-Production,818,41,103,818,337
Castor--Insect-Pests-Management.txt,Crop-Production,2453,130,202,2453,671
Castor--Natural-Enemies.txt,Crop-Production,120,2,35,120,68
Castor-Pests-.txt,Crop-Production,358,11,62,358,183
Catharanthus-roseus.txt,Crop-Production,1593,78,92,1593,621
Cauliflower.txt,Crop-Production,1981,98,200,1981,747
Centella-asiatica.txt,Crop-Production,622,40,86,622,329
Cherry--Crop-Stage-Wise-IPM.txt,Crop-Production,2261,119,393,2261,840
Cherry-Beneficial-insects.txt,Crop-Production,27,1,19,27,23
Cherry-Diseases.txt,Crop-Production,1207,59,159,1207,472
Cherry-Insect-Pests.txt,Crop-Production,1488,80,109,1488,586
Cherry-Pests.txt,Crop-Production,474,24,72,474,249
Chick-pea.txt,Crop-Production,528,16,98,528,276
Chill-Crop-stage-wise-IPM.txt,Crop-Production,3196,69,266,3196,760
Chilli-Diseases.txt,Crop-Production,1573,44,229,1573,591
Chilli-insect-pests.txt,Crop-Production,1285,70,150,1285,553
Chilli-Pests.txt,Crop-Production,446,22,80,446,222
Chillies.txt,Crop-Production,3378,145,239,3378,1260
Chlorophytum-arundinaceum.txt,Crop-Production,732,41,89,732,389
Cineraria-maritime.txt,Crop-Production,1201,64,96,1201,519
Cinnamon.txt,Crop-Production,1968,103,83,1968,700
Citrus--Crop-stage-wise-IPM.txt,Crop-Production,2052,81,99,2052,757
Citrus--Diseases-and-Symptoms.txt,Crop-Production,1104,56,135,1104,475
Citrus--Insect-and-Nematode-Pests-Management.txt,Crop-Production,2645,142,120,2645,885
Citrus--Natural-Enemies.txt,Crop-Production,305,6,45,305,123
Citrus-Pests-.txt,Crop-Production,618,10,81,618,278
Clerodendrum-indicum-.txt,Crop-Production,1336,69,96,1336,563
Clerodendrum-serratum.txt,Crop-Production,659,39,96,659,323
Climate-change-driven-pest-management-strategies.txt,Crop-Production,1672,69,80,1672,633
Clove-Crop-Stage-Wise-IPM.txt,Crop-Production,952,62,242,952,418
Clove-Diseases.txt,Crop-Production,352,22,54,352,174
Clove-Insect-pests.txt,Crop-Production,1032,55,90,1032,424
Clove-Pests.txt,Crop-Production,254,15,47,254,149
Clove.txt,Crop-Production,1605,77,61,1605,639
Cluster-bean.txt,Crop-Production,669,28,57,669,346
Clusterbean.txt,Crop-Production,3099,178,171,3099,892
Cocoa.txt,Crop-Production,1777,86,117,1777,665
Coconut--Crop-Stage-wise-IPM.txt,Crop-Production,1417,62,75,1417,513
Coconut--Diseases-and-Symptoms.txt,Crop-Production,593,34,55,593,255
"Coconut--Insect,-Mite-and-Nematode-Pests.txt",Crop-Production,1209,59,115,1209,528
Coconut--Natural-Enemies.txt,Crop-Production,64,1,32,64,45
Coconut-cultivation-in-Kerala.txt,Crop-Production,967,45,31,967,395
Coconut-cultivation-practices.txt,Crop-Production,4552,256,431,4552,1461
Coconut-Pests-.txt,Crop-Production,356,5,72,356,204
Coconut.txt,Crop-Production,776,49,97,776,362
Coffee-Beneficial-Insects.txt,Crop-Production,25,1,13,25,21
Coffee-Crop-Stage-Wise-IPM.txt,Crop-Production,2104,90,362,2104,813
Coffee-Diseases.txt,Crop-Production,894,48,127,894,367
Coffee-Nutritional-Deficiencies.txt,Crop-Production,861,36,92,861,355
Coffee-Pests.txt,Crop-Production,430,15,71,430,223
Coffee.txt,Crop-Production,4143,170,256,4143,1363
Colchicum-luteum-.txt,Crop-Production,1012,60,90,1012,448
Coleus-barbatus-.txt,Crop-Production,1189,65,87,1189,493
Commiphora-wightii.txt,Crop-Production,1372,62,94,1372,575
Components-of-IPM.txt,Crop-Production,1686,97,111,1686,624
Comprehensive-Weather-Reports.txt,Crop-Production,375,18,37,375,178
Coriander-Beneficial-insects-.txt,Crop-Production,33,1,23,33,28
Coriander-Crop-Stage-Wise-IPM.txt,Crop-Production,1068,54,167,1068,450
Coriander-Diseases.txt,Crop-Production,643,33,96,643,283
Coriander-Insect-Pests.txt,Crop-Production,2225,114,156,2225,832
Coriander-Pests.txt,Crop-Production,259,11,56,259,160
Cotton.txt,Crop-Production,320,13,26,320,172
Cowpea.txt,Crop-Production,1841,80,138,1841,700
Crataegus-oxyacantha-.txt,Crop-Production,1120,67,151,1120,507
Critical-factors-to-be-considered-for-selection-of-crops.txt,Crop-Production,900,67,112,900,344
Crop-regulation-in-guava.txt,Crop-Production,585,27,26,585,264
Crop-stage-wise-IPM-for-Curry-Leaf.txt,Crop-Production,789,29,138,789,382
Cropping-systems-involving-pulses.txt,Crop-Production,2226,77,161,2226,837
Cucurbitaceous-Vegetable-Diseases.txt,Crop-Production,705,14,128,705,343
Cucurbitaceous-Vegetable-Pests-.txt,Crop-Production,440,12,58,440,211
Cultivation-of-large-cardamon-in-Sikkim.txt,Crop-Production,2978,151,112,2978,1000
Cumin--Diseases-and-Symptoms.txt,Crop-Production,587,25,78,587,282
Cumin--Insect-and-Nematode-Pests-Management.txt,Crop-Production,2014,113,130,2014,711
Cumin--Natural-Enemies-.txt,Crop-Production,75,1,32,75,43
Cumin-Crop-Stage-wise-IPM.txt,Crop-Production,1332,34,85,1332,504
